Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Marshall Islands,MHL,GDP per capita (current US$),NY.GDP.PCAP.CD,3703.64905889496,4153.11717602268,4507.622862229,4769.19045858792,5188.97111429082
Mauritania,MRT,GDP per capita (current US$),NY.GDP.PCAP.CD,1562.72685253245,1579.19930100836,1634.64284512097,1749.95423645373,1839.96277798478
Mauritius,MUS,GDP per capita (current US$),NY.GDP.PCAP.CD,9507.87133656424,9965.72521738767,10841.6846706773,11643.4605962124,11403.2528942201
Mexico,MEX,GDP per capita (current US$),NY.GDP.PCAP.CD,9753.40056232226,8875.08206876137,9434.37817948243,9857.00748742213,10145.1526279593
"Micronesia, Fed. Sts.",FSM,GDP per capita (current US$),NY.GDP.PCAP.CD,2891.32210264749,3022.65362747328,3320.3549760029,3623.32933678299,3699.08151446862
Moldova,MDA,GDP per capita (current US$),NY.GDP.PCAP.CD,2749.91303825395,2847.63506882245,3454.95469039113,4156.95750022299,4404.95042249597
Monaco,MCO,GDP per capita (current US$),NY.GDP.PCAP.CD,170338.600368097,174606.493834998,173611.784301022,194287.09331266,199382.781206882
Mongolia,MNG,GDP per capita (current US$),NY.GDP.PCAP.CD,3919.35121410276,3690.7567775547,3708.24822113607,4165.0228208175,4394.94715010112
Montenegro,MNE,GDP per capita (current US$),NY.GDP.PCAP.CD,6517.18961381857,7033.43800629458,7803.36257940837,8850.37840418683,8909.65333601178
Morocco,MAR,GDP per capita (current US$),NY.GDP.PCAP.CD,3139.22827148438,3132.9521484375,3288.50268554688,3492.67236328125,3498.58251953125
Mozambique,MOZ,GDP per capita (current US$),NY.GDP.PCAP.CD,594.226917756451,430.992945098065,462.699970143116,504.535826061786,508.163403756662
Myanmar,MMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1224.5623682428,1161.86181771761,1175.20255456427,1274.91566321935,1295.20148745222
Namibia,NAM,GDP per capita (current US$),NY.GDP.PCAP.CD,4965.67282931154,4614.89217952266,5453.57062341501,5687.38118605248,5126.17614281673
Nauru,NRU,GDP per capita (current US$),NY.GDP.PCAP.CD,7587.25148547245,8528.62766313758,9361.0386655318,10985.8755528475,10316.5250416633
Nepal,NPL,GDP per capita (current US$),NY.GDP.PCAP.CD,882.307663457577,880.224893683469,1027.96547448918,1161.5343496196,1185.68231813605
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,45193.4032187971,46039.105928411,48675.2223350217,53044.5324352244,52476.2732533318
New Caledonia,NCL,GDP per capita (current US$),NY.GDP.PCAP.CD,32428.5721129183,32286.9105568684,33874.9307617678,36495.1959858513,34934.5794941128
New Zealand,NZL,GDP per capita (current US$),NY.GDP.PCAP.CD,38630.7265886928,40058.1961621466,42910.9728362488,43236.8866923404,42796.4305818389
Nicaragua,NIC,GDP per capita (current US$),NY.GDP.PCAP.CD,2025.32726145896,2079.44552907512,2127.27765860035,1981.86316786346,1905.63831305189
Niger,NER,GDP per capita (current US$),NY.GDP.PCAP.CD,481.111301119154,497.036120778867,514.543268872382,567.330849192284,550.963543141805
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,2679.55476480921,2144.77993839856,1941.87948520625,2125.83428239448,2334.02354308408
North Macedonia,MKD,GDP per capita (current US$),NY.GDP.PCAP.CD,4861.55615984223,5149.58676436907,5450.49703529752,6108.73913136452,6070.38805358275
Northern Mariana Islands,MNP,GDP per capita (current US$),NY.GDP.PCAP.CD,17665.1007493109,24054.9156122269,30751.6410731534,25862.7544529262,23687.2718520599
Norway,NOR,GDP per capita (current US$),NY.GDP.PCAP.CD,74809.9658049898,70867.3609970749,76131.8384032764,82792.8427113304,76430.5889473338
Oman,OMN,GDP per capita (current US$),NY.GDP.PCAP.CD,18777.4330589162,17082.2061998982,17802.5751178049,19887.5743113149,19132.1522739094
Pakistan,PAK,GDP per capita (current US$),NY.GDP.PCAP.CD,1282.44302583998,1468.82207690892,1567.64061969895,1620.7425960251,1437.1658337701
Palau,PLW,GDP per capita (current US$),NY.GDP.PCAP.CD,15761.3633809149,16743.376740009,16011.6611537815,15948.275862069,15567.0908684974
Panama,PAN,GDP per capita (current US$),NY.GDP.PCAP.CD,13669.5594424097,14382.2323819969,15185.9724813803,16156.0742942819,16472.8317548406
Papua New Guinea,PNG,GDP per capita (current US$),NY.GDP.PCAP.CD,2502.07374624489,2332.6756636019,2495.14047352341,2584.32773832502,2593.77579783693
Paraguay,PRY,GDP per capita (current US$),NY.GDP.PCAP.CD,5861.38972416093,5759.01833315657,6136.05835430284,6242.96150239538,5807.83881414187
Peru,PER,GDP per capita (current US$),NY.GDP.PCAP.CD,6180.11879937394,6163.86117862599,6676.3077877014,6912.10462268352,6955.88176963678
Philippines,PHL,GDP per capita (current US$),NY.GDP.PCAP.CD,2974.29692047629,3038.15204593606,3077.43443152814,3194.67270414955,3413.8490672059
Poland,POL,GDP per capita (current US$),NY.GDP.PCAP.CD,12560.051419682,12378.8117640735,13815.499946254,15504.5089372145,15700.0135796738
Portugal,PRT,GDP per capita (current US$),NY.GDP.PCAP.CD,19250.1065376852,19991.9724878811,21490.4298631042,23562.5545228187,23330.8172889316
Puerto Rico,PRI,GDP per capita (current US$),NY.GDP.PCAP.CD,29763.4883013861,30627.1634017011,31108.7527508912,31615.0667918433,32916.866800639
